,,name,count,p_count
,q86_5,5) 추가적인 세금 납부가 부담된다.,112,100.00%
,q86_6,6) 기타(구체적으로 응답해 주십시오),6,100.00%
기타 의견,q86_6_A,세금으로 만들거면서 세금 걷는다는게 뭔 소리요,1,16.67%
,q86_6_A,신뢰할 수 있는 정부로 바뀌면 고려할 것이다.,1,16.67%
,q86_6_A,아이들과 함께 시간보내기가 어렵다,1,16.67%
,q86_6_A,요금이 비싸다,1,16.67%
,q86_6_A,원할때만 이용하고 싶다,1,16.67%
,q86_6_A,흡연등  과태료를 대폭 올려 충당,1,16.67%
1,q87,1) 유형A,43,8.60%
,q87,2) 유형B,220,44.00%
,q87,3) 유형C,116,23.20%
,q87,4) 유형D,121,24.20%
2,q88,1) 유형A,92,18.40%
,q88,2) 유형B,280,56.00%
,q88,3) 유형C,59,11.80%
,q88,4) 유형D,69,13.80%
3,q89,1) 유형A,60,12.00%
,q89,2) 유형B,160,32.00%
,q89,3) 유형C,175,35.00%
,q89,4) 유형D,105,21.00%
4,q90,1) 유형A,105,21.00%
,q90,2) 유형B,248,49.60%
,q90,3) 유형C,68,13.60%
,q90,4) 유형D,79,15.80%
5,q91,1) 유형A,32,6.40%
,q91,2) 유형B,91,18.20%
,q91,3) 유형C,239,47.80%
,q91,4) 유형D,138,27.60%
6,q92,1) 유형A,183,36.60%
,q92,2) 유형B,173,34.60%
,q92,3) 유형C,54,10.80%
,q92,4) 유형D,90,18.00%
7,q93,1) 유형A,59,11.80%
,q93,2) 유형B,233,46.60%
,q93,3) 유형C,60,12.00%
,q93,4) 유형D,148,29.60%
8,q94,1) 유형A,168,33.60%
,q94,2) 유형B,155,31.00%
,q94,3) 유형C,90,18.00%
,q94,4) 유형D,87,17.40%
9,q95,1) 유형A,251,50.20%
,q95,2) 유형B,78,15.60%
,q95,3) 유형C,137,27.40%
,q95,4) 유형D,34,6.80%
10,q96,1) 유형A,70,14.00%
,q96,2) 유형B,175,35.00%
,q96,3) 유형C,106,21.20%
,q96,4) 유형D,149,29.80%
같이 살고 있는 가족 수 (응답자 본인 포함),q97_1,1,61,12.20%
,q97_1,2,36,7.20%
,q97_1,3,166,33.20%
,q97_1,4,211,42.20%
,q97_1,5,22,4.40%
,q97_1,6,4,0.80%
 미취학 아동 가족 수,q98_1,0,276,63.01%
,q98_1,1,119,27.17%
,q98_1,2,42,9.59%
,q98_1,3,1,0.23%
초등생 가족 수,q98_2,0,237,53.99%
,q98_2,1,160,36.45%
,q98_2,2,39,8.88%
,q98_2,3,3,0.68%
중고생 가족 수,q98_3,0,347,79.04%
,q98_3,1,75,17.08%
,q98_3,2,17,3.87%
그 외 가족 수,q98_4,0,1,0.23%
,q98_4,1,8,1.83%
,q98_4,2,348,79.45%
,q98_4,3,47,10.73%
,q98_4,4,29,6.62%
,q98_4,5,5,1.14%
본인 외 가족 수 합,q98_t1,2,36,8.20%
,q98_t1,3,166,37.81%
,q98_t1,4,211,48.06%
,q98_t1,5,22,5.01%
,q98_t1,6,4,0.91%
학력,q99_1,0,5,1.00%
,q99_1,1,3,0.60%
,q99_1,3,1,0.20%
,q99_1,4,4,0.80%
,q99_1,10,1,0.20%
,q99_1,12,31,6.20%
,q99_1,13,3,0.60%
,q99_1,14,103,20.60%
,q99_1,15,3,0.60%
,q99_1,16,280,56.00%
,q99_1,17,3,0.60%
,q99_1,18,50,10.00%
,q99_1,19,2,0.40%
,q99_1,20,5,1.00%
,q99_1,21,1,0.20%
,q99_1,22,5,1.00%
"실례지만, 귀하의 직업은 어디에 해당 되십니까?",q100,1) 자영업,26,5.20%
,q100,2) 판매/서비스직,35,7.00%
,q100,3) 사무/기술직,226,45.20%
,q100,4) 전문직,44,8.80%
,q100,5) 경영/관리직,26,5.20%
,q100,6) 전업주부,115,23.00%
,q100,7) 학생,3,0.60%
,q100,8) 무직,10,2.00%
,q100,9) 기타,15,3.00%
기타 의견,q100_9,공무,1,6.67%
,q100_9,교사,1,6.67%
,q100_9,사서,1,6.67%
,q100_9,생산,1,6.67%
,q100_9,생산직,2,13.33%
,q100_9,아르바이트,1,6.67%
,q100_9,영업,1,6.67%
,q100_9,작품강사,1,6.67%
,q100_9,파트타임,1,6.67%
,q100_9,프리랜서,5,33.33%
월평균 가구 소득,q101,1) 99만원 이하,3,0.60%
,q101,"10) 1,000만원 이상",40,8.00%
,q101,2) 100만원-149만원 이하,2,0.40%
,q101,3) 150만원-199만원 이하,9,1.80%
,q101,4) 200만원-249만원 이하,32,6.40%
,q101,5) 250만원-299만원 이하,39,7.80%
,q101,6) 300만원-399만원 이하,67,13.40%
,q101,7) 400만원-499만원 이하,79,15.80%
,q101,8) 500만원-699만원 이하,139,27.80%
,q101,9) 700만원-999만원 이하,90,18.00%
,q102,1) 소득 없음,46,9.20%
월평균 개인 소득,q102,10) 700만원-999만원 이하,51,10.20%
,q102,"11) 1,000만원 이상",23,4.60%
,q102,2) 99만원 이하,29,5.80%
,q102,3) 100만원-149만원 이하,18,3.60%
,q102,4) 150만원-199만원 이하,22,4.40%
,q102,5) 200만원-249만원 이하,44,8.80%
,q102,6) 250만원-299만원 이하,55,11.00%
,q102,7) 300만원-399만원 이하,67,13.40%
,q102,8) 400만원-499만원 이하,73,14.60%
,q102,9) 500만원-699만원 이하,72,14.40%
